,model_id,task,train length,test length,batch_size,lr,data_seed,model_seed,target_layer,operation,probe index,mask_init,model path,train loss,test loss,knn dev acc,dev majority acc,knn test acc,test majority acc,full model knn dev acc,full model knn test acc,L0 Norm,L0 Max, vanilla acc IID, ablated acc IID,random ablate acc mean IID,random ablate acc std IID, vanilla acc Gen, ablated acc Gen,random ablate acc mean Gen,random ablate acc std Gen
26,336182d4-ef24-4cf5-b53a-80b77b980dde,reflexive,2000,1000,500,0.001,0,0,13,attn,-1,0.0,gpt2-medium,0.37310536205768585,0.3712465912103653,0.9824824824824825,0.4804804804804805,0.978,0.491,0.6156156156156156,0.641,517120.0,4194304,0.626,0.603,0.6142,0.012089665007765942,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
27,f3441406-4341-4dbb-b007-08bd8a24d6ea,reflexive,2000,1000,500,0.001,0,0,13,mlp,-1,0.0,gpt2-medium,0.4712287336587906,0.4683213382959366,0.994994994994995,0.4804804804804805,0.999,0.491,0.6526526526526526,0.675,489472.0,8388608,0.626,0.619,0.635,0.007483314773547889,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
28,414fa2e3-09f8-4f3d-a27f-2d5ca05dcc35,reflexive,2000,1000,500,0.001,0,0,14,attn,-1,0.0,gpt2-medium,0.3897855430841446,0.3899300545454025,0.975975975975976,0.4804804804804805,0.975,0.491,0.6766766766766766,0.673,559104.0,4194304,0.626,0.621,0.6432,0.009724196624914583,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
29,bb5d45ab-d01e-443f-9fa8-60958f88c360,reflexive,2000,1000,500,0.001,0,0,14,mlp,-1,0.0,gpt2-medium,0.3133207783102989,0.3091067671775818,1.0,0.4804804804804805,1.0,0.491,0.6536536536536537,0.669,491520.0,8388608,0.626,0.618,0.632,0.006603029607687677,0.9785714285714285,0.9857142857142858,0.9785714285714284,1.1102230246251565e-16
30,2fec2d48-bd46-44f0-836b-4fcd66d9a420,reflexive,2000,1000,500,0.001,0,0,15,attn,-1,0.0,gpt2-medium,0.3801693394780159,0.3803021311759949,0.9724724724724725,0.4804804804804805,0.963,0.491,0.6016016016016016,0.622,444416.0,4194304,0.626,0.638,0.6294000000000001,0.0023323807579381226,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
31,2f9f3692-ca93-40e1-962e-240f7f084b54,reflexive,2000,1000,500,0.001,0,0,15,mlp,-1,0.0,gpt2-medium,0.36342570185661316,0.36020079255104065,0.995995995995996,0.4804804804804805,0.995,0.491,0.6836836836836837,0.692,494592.0,8388608,0.626,0.628,0.633,0.00509901951359279,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
32,53ae2532-fa62-4a65-b481-f1ed28d5b11c,reflexive,2000,1000,500,0.001,0,0,16,attn,-1,0.0,gpt2-medium,0.4124164581298828,0.4116864502429962,0.9374374374374375,0.4804804804804805,0.931,0.491,0.5950950950950951,0.612,362496.0,4194304,0.626,0.636,0.62,0.0037947331922020583,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
33,ba421aac-84a0-42ed-b41d-cf0ecfa5c766,reflexive,2000,1000,500,0.001,0,0,16,mlp,-1,0.0,gpt2-medium,0.24876056984066963,0.24710359424352646,0.9974974974974975,0.4804804804804805,0.995,0.491,0.6951951951951952,0.707,406528.0,8388608,0.626,0.623,0.6296,0.007364781055808795,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
34,1f36ff2a-8e08-478f-884f-83f4d520e994,reflexive,2000,1000,500,0.001,0,0,17,attn,-1,0.0,gpt2-medium,0.4801441729068756,0.48309533298015594,0.9294294294294294,0.4804804804804805,0.924,0.491,0.6511511511511512,0.673,209920.0,4194304,0.626,0.628,0.6418,0.0095372952140531,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
35,2368886f-64c3-4bf8-b49c-90c2fa48035b,reflexive,2000,1000,500,0.001,0,0,17,mlp,-1,0.0,gpt2-medium,0.5623045116662979,0.5619534254074097,0.934934934934935,0.4804804804804805,0.942,0.491,0.586086086086086,0.611,571392.0,8388608,0.626,0.577,0.6374000000000001,0.0044988887516808004,0.9785714285714285,0.9714285714285714,0.9785714285714284,1.1102230246251565e-16
36,6801d116-b8d3-4e96-95b5-3919456992cf,reflexive,2000,1000,500,0.001,0,0,18,attn,-1,0.0,gpt2-medium,0.24117406830191612,0.2415473684668541,1.0,0.4804804804804805,1.0,0.491,0.8918918918918919,0.899,380928.0,4194304,0.626,0.65,0.6314,0.016871277367170527,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
37,f51eefdc-ebaf-4024-96ac-0ca7cc7a2d97,reflexive,2000,1000,500,0.001,0,0,18,mlp,-1,0.0,gpt2-medium,0.2882181257009506,0.29463671147823334,0.9964964964964965,0.4804804804804805,0.992,0.491,0.8633633633633634,0.883,427008.0,8388608,0.626,0.63,0.6142,0.017645396000090238,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
