,Unnamed: 0,model_id,label,train length,dev length,test length,batch_size,lr,data_seed,model_seed,target_layer,operation,mask_init,model,model path,train loss,dev loss,knn dev acc,dev majority acc,knn test acc,test majority acc,L0 Norm,L0 Max,vanilla acc,ablated acc,kl,mlm vanilla acc,mlm ablated acc,mlm kl,random ablate kl mean,random ablate kl std,all random ablate kls,random ablate mlm kl mean,random ablate mlm kl std,all random ablate mlm kls
20,20,02eab481-b5e0-4e25-a31e-0ec9cfd9dd0a,dep,16521,1522,15977,16,0.001,0,2,3,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.624901413917541,2.781696399052938,0.6594523794673486,0.1163225846691199,0.5701946548162984,0.1169806596983163,428755.0,2359296,0.0726577437858508,0.034416826003824,2.2575180997052264,-1,-1,-1,0.4581534566204588,0.0,[0.45815345662045887],-1.0,-1,[-1]
21,21,9c240c5a-0622-4a55-92e6-4761f34c44c6,dep,16521,1522,15977,16,0.001,0,0,3,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.6537808218309955,2.768111626307169,0.7130938297739867,0.1164933690305709,0.6324090880640921,0.1169806596983163,377416.0,4718592,0.0522625876354365,0.0203951561504142,1.0891426042662524,-1,-1,-1,0.2062871579230401,0.0,[0.20628715792304014],-1.0,-1,[-1]
22,22,f613d9f5-77d7-427f-8272-120a755d20e5,dep,16521,1522,15977,16,0.001,0,1,3,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.6533728645693877,2.76719876130422,0.7100429612103855,0.1164933690305709,0.6270889403517557,0.1169806596983163,374887.0,4718592,0.0541746335245379,0.0318674314850223,0.8745520198474347,-1,-1,-1,0.2065924115056365,0.0,[0.20659241150563656],-1.0,-1,[-1]
23,23,02e6e128-9048-4e95-9746-af2b1c9beb14,dep,16521,1522,15977,16,0.001,0,2,3,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.653845421729549,2.766610860824585,0.7050619513106282,0.1164933690305709,0.6273393002441009,0.1169806596983163,374562.0,4718592,0.0554493307839388,0.0337794773741236,1.0322421227692795,-1,-1,-1,0.2435694464154119,0.0,[0.2435694464154119],-1.0,-1,[-1]
24,24,f81ddedd-46ad-4194-b9c3-4fdabb8a404a,dep,16521,1522,15977,16,0.001,0,0,4,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.614962466301457,2.7863576412200928,0.6485997629888355,0.1163225846691199,0.5681291857044501,0.1169806596983163,438880.0,2359296,0.0854047163798597,0.0452517527087316,1.8537876185070108,-1,-1,-1,0.4877483107771669,0.0,[0.48774831077716696],-1.0,-1,[-1]
25,25,b60bbe8c-10e7-4489-82a3-310e3d0efc46,dep,16521,1522,15977,16,0.001,0,1,4,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.6343861856768207,2.810295422871908,0.6515312168652155,0.1163225846691199,0.5592414095261939,0.1169806596983163,384822.0,2359296,0.082855321861058,0.0446144040790312,1.945645489762588,-1,-1,-1,0.4999863069630337,0.0,[0.49998630696303376],-1.0,-1,[-1]
26,26,78aea68d-296a-4e44-88ea-3a845be4c587,dep,16521,1522,15977,16,0.001,0,2,4,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.6192111046083517,2.780709703763326,0.6653152872201086,0.1163225846691199,0.5835889090567691,0.1169806596983163,395284.0,2359296,0.0796685787125557,0.0248565965583174,2.1436337336679414,-1,-1,-1,0.5100094933202876,0.0,[0.5100094933202876],-1.0,-1,[-1]
27,27,93b1bb3a-c8b6-4f58-be84-4f5fc52719a4,dep,16521,1522,15977,16,0.001,0,0,4,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.681587223083742,2.757022778193156,0.6592366602328622,0.1164933690305709,0.6127558365149903,0.1169806596983163,540326.0,4718592,0.1083492670490758,0.0681963033779477,0.806166581396391,-1,-1,-1,0.1652342077271052,0.0,[0.16523420772710523],-1.0,-1,[-1]
28,28,bda6c269-8e51-4021-97e4-3208a244bf8b,dep,16521,1522,15977,16,0.001,0,1,4,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.680737356985769,2.7567735513051352,0.6644044580038603,0.1164933690305709,0.6180759842273268,0.1169806596983163,540923.0,4718592,0.1102613129381771,0.0694710006373486,0.7469036620160134,-1,-1,-1,0.148199165300475,0.0,[0.14819916530047503],-1.0,-1,[-1]
29,29,9bc63cd4-50b3-4f88-a2f2-e6b425aab86f,dep,16521,1522,15977,16,0.001,0,2,4,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.6824224572027884,2.7573028405507407,0.6652761347363177,0.1164933690305709,0.6208925330162108,0.1169806596983163,537612.0,4718592,0.1166347992351816,0.0809432759719566,0.862153752887986,-1,-1,-1,0.175790722313924,0.0,[0.17579072231392406],-1.0,-1,[-1]
30,30,b255b42d-8609-4805-9ee2-1e264f61bab2,dep,16521,1522,15977,16,0.001,0,0,5,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.6631771825974986,2.822025855382284,0.5708850495852305,0.1163225846691199,0.522688865243788,0.1169806596983163,311715.0,2359296,0.0764818355640535,0.0465264499681325,1.8171182879222436,-1,-1,-1,0.4577538689053537,0.0,[0.45775386890535374],-1.0,-1,[-1]
31,31,15cb7701-b1fd-41a5-bd81-33e615e94a8e,dep,16521,1522,15977,16,0.001,0,1,5,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.615597228850088,2.7710777123769126,0.7047339861535583,0.1163225846691199,0.6148213056268386,0.1169806596983163,382691.0,2359296,0.0707456978967495,0.02868068833652,3.119454631234066,-1,-1,-1,0.5621859548652605,0.0,[0.5621859548652605],-1.0,-1,[-1]
